id,PartnerCountries,Year,Export,Import
  1,Armenia,2000,    1528,      8
  1,Armenia,2001,    1184,      5
  1,Armenia,2002,    1290,      0
  1,Armenia,2003,    2606,      8
  1,Armenia,2004,    3983,     12
  1,Armenia,2005,    5411,      0
  1,Armenia,2006,    4548,     35
  1,Armenia,2007,    7237,     39
  1,Armenia,2008,   10874,     55
  1,Armenia,2009,    6246,     69
  1,Armenia,2010,    7599,      0
  1,Armenia,2011,   15126,      2
  2,Afghanistan,2000,     660,     18
  2,Afghanistan,2001,    1430,      7
  2,Afghanistan,2002,    1862,     17
  2,Afghanistan,2003,    3345,0
  2,Afghanistan,2004,    5657,    147
  2,Afghanistan,2005,    6472,     13
  2,Afghanistan,2006,   14730,     89
  2,Afghanistan,2007,   14193,      2
  2,Afghanistan,2008,   24851,    301
  2,Afghanistan,2009,   31390,    110
  2,Afghanistan,2010,   40672,   1054
  2,Afghanistan,2011,   44316,   2024
  3,Albania,2000,    6092,   2124
  3,Albania,2001,    5654,   1452
  3,Albania,2002,    3020,   1871
  3,Albania,2003,    3003,    197
  3,Albania,2004,    5901,    809
  3,Albania,2005,    7526,    224
  3,Albania,2006,    5958,0
  3,Albania,2007,    6597,     63
  3,Albania,2008,    8210,     53
  3,Albania,2009,    9876,      7
  3,Albania,2010,    8715,      1
  3,Albania,2011,    9378,     93
  4,Algeria,2000,   55354,    213
  4,Algeria,2001,   61272,      9
  4,Algeria,2002,  103920,   1385
  4,Algeria,2003,   87434,   3359
  4,Algeria,2004,  150380,   6584
  4,Algeria,2005,  108135,   5567
  4,Algeria,2006,  133351,   3736
  4,Algeria,2007,  192490,    567
  4,Algeria,2008,  212982,   3400
  4,Algeria,2009,  184093,   1043
  4,Algeria,2010,  188982,    692
  4,Algeria,2011,  246369,  14389
  5,American Samoa,2000,0,0
  5,American Samoa,2001,      11,      1
  5,American Samoa,2002,      10,      8
  5,American Samoa,2003,0,0
  5,American Samoa,2004,      58,0
  5,American Samoa,2005,      10,0
  5,American Samoa,2006,       0,0
  5,American Samoa,2007,0,0
  5,American Samoa,2008,0,0
  5,American Samoa,2009,0,0
  5,American Samoa,2010,       9,0
  5,American Samoa,2011,0,0
  7,Angola,2000,   41222,0
  7,Angola,2001,   47870,0
  7,Angola,2002,   47691,      1
  7,Angola,2003,   59198,      2
  7,Angola,2004,   80908,     49
  7,Angola,2005,   55993,      0
  7,Angola,2006,  105965,      2
  7,Angola,2007,   85709,      1
  7,Angola,2008,  122637,      0
  7,Angola,2009,  115077,      1
  7,Angola,2010,  112106,      1
  7,Angola,2011,  153431,      1
