Year,PartnerCountryCode,PartnerCountries,Import,Export
2001,2010,Mexico,10706,10297
2002,2010,Mexico,9981.9,10022.5
2003,2010,Mexico,10830.47187,10957.74635
2004,2010,Mexico,11200.69738,11709.18403
2005,2010,Mexico,12073.87754,12607.08622
2006,2010,Mexico,15227.89873,14820.116
2007,2010,Mexico,15373.41478,15142.80096
2008,2010,Mexico,17054.4899,17674.54862
2009,2010,Mexico,12464.88032,12379.80093
2010,2010,Mexico,16089.40131,16459.3035
2011,2010,Mexico,19606.41106,19053.57811
2012,2010,Mexico,21503.92623,22617.16585
2013,2010,Mexico,21549.88196,21914.70031
2001,2050,Guatemala,228.7,202.8
2002,2050,Guatemala,216.5,195.7
2003,2050,Guatemala,246.888788,238.146078
2004,2050,Guatemala,217.039948,223.636037
2005,2050,Guatemala,244.009334,262.631289
2006,2050,Guatemala,215.074969,228.297514
2007,2050,Guatemala,230.14491,239.755918
2008,2050,Guatemala,297.650765,279.416356
2009,2050,Guatemala,196.601285,203.049391
2010,2050,Guatemala,243.207646,269.432484
2011,2050,Guatemala,320.689493,333.939083
2012,2050,Guatemala,376.323569,341.497955
2013,2050,Guatemala,314.766155,329.127496
2001,2080,Belize,4.1,14.5
2002,2080,Belize,4.3,5.8
2003,2080,Belize,5.352117,9.392373
2004,2080,Belize,5.554294,8.280676
2005,2080,Belize,5.172393,14.463137
2006,2080,Belize,4.656801,10.228572
2007,2080,Belize,5.830802,12.054445
2008,2080,Belize,10.606312,7.421412
2009,2080,Belize,6.573171,8.535899
2010,2080,Belize,2.170355,3.240765
2011,2080,Belize,8.66908,14.554609
2012,2080,Belize,13.922079,23.858524
2013,2080,Belize,11.068201,4.99693
2001,2110,El Salvador,121.4,148.9
2002,2110,El Salvador,146.1,143.3
2003,2110,El Salvador,148.363986,153.365969
2004,2110,El Salvador,138.917541,155.837311
2005,2110,El Salvador,133.892204,155.508478
2006,2110,El Salvador,122.112822,158.051339
2007,2110,El Salvador,153.409581,154.171118
2008,2110,El Salvador,144.237521,174.004181
2009,2110,El Salvador,131.049501,140.999114
2010,2110,El Salvador,126.299696,150.670516
2011,2110,El Salvador,166.256579,190.512719
2012,2110,El Salvador,196.402966,198.024183
2013,2110,El Salvador,177.71097,197.948413
2001,2150,Honduras,206.7,266.4
2002,2150,Honduras,194.6,249.1
2003,2150,Honduras,215.308085,262.972936
2004,2150,Honduras,211.741161,281.232397
2005,2150,Honduras,246.823508,302.884417
2006,2150,Honduras,255.995349,303.633354
2007,2150,Honduras,254.361797,294.931422
2008,2150,Honduras,249.705314,326.424703
2009,2150,Honduras,201.281788,257.874873
2010,2150,Honduras,221.322956,288.328918
2011,2150,Honduras,275.046045,370.141639
2012,2150,Honduras,266.655009,378.047917
2013,2150,Honduras,281.938163,361.280127
2001,2190,Nicaragua,51.9,49.6
2002,2190,Nicaragua,49.8,53.7
2003,2190,Nicaragua,60.251651,56.969858
2004,2190,Nicaragua,61.760641,75.850968
2005,2190,Nicaragua,89.291456,91.79053
2006,2190,Nicaragua,109.8432,149.12863
2007,2190,Nicaragua,117.447542,113.537002
2008,2190,Nicaragua,128.221001,150.044535
2009,2190,Nicaragua,97.234162,124.632507
2010,2190,Nicaragua,112.031938,149.453902
2011,2190,Nicaragua,155.9975,181.085048
2012,2190,Nicaragua,200.465989,222.564089
2013,2190,Nicaragua,199.870013,219.96952
2001,2230,Costa Rica,205.5,229.5
2002,2230,Costa Rica,188.1,232.4
2003,2230,Costa Rica,253.733186,286.043059
2004,2230,Costa Rica,213.829058,287.539115
2005,2230,Costa Rica,228.242767,250.417736
2006,2230,Costa Rica,265.07986,292.579892
2007,2230,Costa Rica,269.552957,308.33619
2008,2230,Costa Rica,303.470146,350.706437
2009,2230,Costa Rica,225.779387,256.579705
2010,2230,Costa Rica,580.116379,535.692663
2011,2230,Costa Rica,676.170679,687.880937
2012,2230,Costa Rica,878.619196,972.088163
2013,2230,Costa Rica,836.393347,935.518068
2001,2250,Panama,200,200
2002,2250,Panama,200,200
2003,2250,Panama,200,200
2004,2250,Panama,200,200
2005,2250,Panama,200,200
2006,2250,Panama,200,200
2007,2250,Panama,200,200
2008,2250,Panama,200,200
2009,2250,Panama,200,200
2010,2250,Panama,200,200
2011,2250,Panama,200,200
2012,2250,Panama,200,200
2013,2250,Panama,200,200
2001,2320,Bermuda,0.8,0.8
2002,2320,Bermuda,0.7,1.1
2003,2320,Bermuda,0.84752,1.073643
2004,2320,Bermuda,0.780348,0.569293
2005,2320,Bermuda,2.351757,0.799324
2006,2320,Bermuda,0.822483,0.442073
2007,2320,Bermuda,1.979411,0.781278
2008,2320,Bermuda,0.996801,0.654554
2009,2320,Bermuda,0.385724,0.830112
2010,2320,Bermuda,8.832869,0.420938
2011,2320,Bermuda,0.310173,0.398294
2012,2320,Bermuda,0.8361,1.390441
2013,2320,Bermuda,1.105168,0.799287
2001,2360,Bahamas,24.6,25.5
2002,2360,Bahamas,33.6,25.4
2003,2360,Bahamas,34.292117,38.723447
2004,2360,Bahamas,44.358419,48.886559
2005,2360,Bahamas,51.985918,70.617075
2006,2360,Bahamas,41.590853,63.961301
2007,2360,Bahamas,64.744124,41.425868
2008,2360,Bahamas,65.976349,46.277899
2009,2360,Bahamas,46.370915,72.810261
2010,2360,Bahamas,48.254702,81.023816
2011,2360,Bahamas,61.580856,78.261527
2012,2360,Bahamas,29.862408,25.820762
2013,2360,Bahamas,86.541345,32.255935
2001,2390,Cuba,99999,99999
2002,2390,Cuba,0,0
2003,2390,Cuba,9999,0
2004,2390,Cuba,0,0.033329
2005,2390,Cuba,0,0
2006,2390,Cuba,0,0
2007,2390,Cuba,0,0.202151
2008,2390,Cuba,0,0
2009,2390,Cuba,0,0
2010,2390,Cuba,0,0
2011,2390,Cuba,0,0
2012,2390,Cuba,0,0
2013,2390,Cuba,0,0
2001,2410,Jamaica,29.3,35.3
2002,2410,Jamaica,28.6,33.1
2003,2410,Jamaica,38.177604,33.257723
2004,2410,Jamaica,23.080214,22.437595
2005,2410,Jamaica,27.416627,22.192126
2006,2410,Jamaica,29.831828,45.201358
2007,2410,Jamaica,57.605283,47.96016
2008,2410,Jamaica,48.955596,52.645129
2009,2410,Jamaica,40.851173,24.066627
2010,2410,Jamaica,24.470528,30.386442
2011,2410,Jamaica,15.753269,28.033342
2012,2410,Jamaica,33.942257,31.927805
2013,2410,Jamaica,41.625068,60.204604
2001,2430,Turks and Caicos Islands,0.4,0.5
2002,2430,Turks and Caicos Islands,0.6,0.5
2003,2430,Turks and Caicos Islands,0.210662,0.497412
2004,2430,Turks and Caicos Islands,0.382743,0.414141
2005,2430,Turks and Caicos Islands,0.502601,0.123385
2006,2430,Turks and Caicos Islands,0.644276,0.528826
2007,2430,Turks and Caicos Islands,0.755097,0.86188
2008,2430,Turks and Caicos Islands,0.401222,0.775146
2009,2430,Turks and Caicos Islands,0.822586,0.681295
2010,2430,Turks and Caicos Islands,0.481465,0.96908
2011,2430,Turks and Caicos Islands,0.927424,0.703343
2012,2430,Turks and Caicos Islands,0.761363,0.662116
2013,2430,Turks and Caicos Islands,0.686292,0.497234
2001,2440,Cayman Islands,0.1,0.1
2002,2440,Cayman Islands,0.4,0.2
2003,2440,Cayman Islands,1.101886,1.886976
2004,2440,Cayman Islands,0.619935,0.322286
2005,2440,Cayman Islands,0.919886,0.704555
2006,2440,Cayman Islands,1.561504,1.255617
2007,2440,Cayman Islands,4.181234,1.610197
2008,2440,Cayman Islands,0.607228,0.550702
2009,2440,Cayman Islands,1.433212,0.790026
2010,2440,Cayman Islands,0.599687,0.488457
2011,2440,Cayman Islands,0.750699,1.572723
2012,2440,Cayman Islands,0.826176,0.961286
2013,2440,Cayman Islands,4.805534,9.966224
2001,2450,Haiti,17.7,21.5
2002,2450,Haiti,13.9,16.3
2003,2450,Haiti,16.214502,25.077773
2004,2450,Haiti,17.768909,29.369847
2005,2450,Haiti,21.040946,30.617258
2006,2450,Haiti,23.111432,31.535959
2007,2450,Haiti,26.152208,43.293136
2008,2450,Haiti,18.96703,28.076125
2009,2450,Haiti,20.897777,40.692035
2010,2450,Haiti,6.401135,29.396001
2011,2450,Haiti,34.478233,58.293937
2012,2450,Haiti,34.378523,55.458149
2013,2450,Haiti,46.279035,62.965383
2001,2470,Dominican Republic,252,324.3
2002,2470,Dominican Republic,194.5,312.3
2003,2470,Dominican Republic,225.669461,336.015177
2004,2470,Dominican Republic,238.556311,368.72802
2005,2470,Dominican Republic,235.433734,366.204659
2006,2470,Dominican Republic,273.77511,350.068703
2007,2470,Dominican Republic,242.813564,353.477409
2008,2470,Dominican Republic,246.709465,346.450819
2009,2470,Dominican Republic,185.989638,275.221912
2010,2470,Dominican Republic,183.301486,269.16778
2011,2470,Dominican Republic,223.151344,322.768653
2012,2470,Dominican Republic,267.584205,370.551284
2013,2470,Dominican Republic,276.272418,327.554828
2001,2481,Anguilla,0,0.2
2002,2481,Anguilla,0,0.1
2003,2481,Anguilla,0.03152,0.231358
